Date,Price,Open,High,Low,Vol.,Change %
"Sep 30, 2024",264.15,269.8,271.45,261.5,19.96K,-2.26%
"Sep 29, 2024",270.25,268.15,272.15,264.1,18.34K,0.0041
"Sep 26, 2024",269.15,272,273.15,264.6,14.95K,-1.73%
"Sep 25, 2024",273.9,268.75,275.05,267.95,15.57K,0.0178
"Sep 24, 2024",269.1,267,271.2,263.2,15.05K,0.0049
"Sep 23, 2024",267.8,263.65,270.4,262.7,19.28K,0.0157
"Sep 22, 2024",263.65,251.9,264.4,250.1,21.10K,0.0514
"Sep 19, 2024",250.75,261.8,262.1,247.7,23.78K,-4.17%
"Sep 18, 2024",261.65,260.6,263,257.3,14.17K,-0.57%
"Sep 17, 2024",263.15,265.7,265.7,265.7,0.00K,-0.70%
"Sep 16, 2024",265,264.2,265.05,264.2,0.00K,0.023
"Sep 15, 2024",259.05,258,271.8,257.55,24.44K,-1.14%
"Sep 12, 2024",262.05,261.75,261.75,261.75,0.00K,0.0399
"Sep 11, 2024",252,247.15,250.95,246.3,14.57K,0.0102
"Sep 10, 2024",249.45,247.85,247.85,247.85,0.00K,0.0058
"Sep 09, 2024",248,245.9,251.25,244.75,17.36K,-0.58%
"Sep 08, 2024",249.45,238.1,246.2,238.1,20.06K,0.0392
"Sep 05, 2024",240.05,246.5,246.5,240,0.00K,-2.66%
"Sep 04, 2024",246.6,243.7,248.55,242.25,14.98K,0.0043
"Sep 03, 2024",245.55,246.45,246.45,246.1,0.00K,-0.49%
"Sep 02, 2024",246.75,246.65,246.65,246.65,0.02K,-0.58%
"Aug 29, 2024",248.2,255.45,255.5,250.3,0.02K,-1.43%
"Aug 28, 2024",251.8,258.7,258.7,250.3,0.05K,-3.32%
"Aug 27, 2024",260.45,259,259.05,259,0.01K,0.004
"Aug 26, 2024",259.4,259.15,263.65,254.65,0.06K,0.0227
"Aug 25, 2024",253.65,249.4,253.25,248.4,0.01K,0.0098
"Aug 22, 2024",251.2,246.8,251.35,245.05,0.05K,0.0178
"Aug 21, 2024",246.8,253.3,253.3,244.5,0.25K,-1.06%
"Aug 20, 2024",249.45,247,253,244,4.07K,0.00%
"Aug 19, 2024",249.45,247.9,254.5,245.8,5.94K,0.0144
"Aug 18, 2024",245.9,245.5,249.8,242.6,5.27K,0.0018
"Aug 15, 2024",245.45,239.1,245.8,238.55,8.50K,0.0231
"Aug 14, 2024",239.9,236.8,240.35,234.3,7.42K,0.0122
"Aug 13, 2024",237,232.75,238.95,232.05,10.30K,0.0185
"Aug 12, 2024",232.7,235.8,237.15,230.1,24.08K,-3.38%
"Aug 11, 2024",240.85,245.5,249.45,239.25,25.85K,0.0291
"Aug 08, 2024",234.05,245.3,246.05,232.25,44.48K,-4.59%
"Aug 07, 2024",245.3,245.25,251.75,243.1,37.13K,-0.41%
"Aug 06, 2024",246.3,235.35,248,235.25,40.13K,0.0439
